(21, 651, 1)
(358, 56, 2)
(454, 907, 1)
(173, 720, 2)
(911, 470, 2)
(331, 247, 2)
(385, 865, 2)
(671, 307, 2)
(118, 248, 2)
(499, 344, 2)
(507, 549, 2)
(141, 184, 2)
(103, 777, 2)
(110, 105, 2)
(578, 424, 2)
(959, 61, 2)
(748, 366, 2)
(258, 349, 2)
(487, 309, 2)
(213, 267, 1)
(601, 114, 2)
(548, 664, 2)
(62, 300, 2)
(536, 696, 2)
(478, 984, 2)
(863, 530, 2)
(698, 323, 2)
(74, 612, 2)
(51, 327, 2)
(925, 851, 2)
(529, 998, 2)
(751, 908, 2)
(399, 702, 2)
(625, 110, 1)
(564, 875, 2)
(941, 223, 2)
(756, 40, 2)
(636, 175, 2)
(2, 386, 2)
(546, 365, 2)
(996, 688, 2)
(29, 279, 2)
(672, 173, 2)
(68, 199, 2)
(438, 765, 2)
(646, 713, 2)
(231, 726, 2)
(618, 644, 2)
(634, 143, 2)
(252, 194, 2)
(263, 662, 2)
(513, 115, 2)
(454, 99, 2)
(492, 768, 2)
(40, 872, 2)
(461, 930, 2)
(403, 448, 2)
(348, 276, 1)
(549, 794, 2)
(369, 800, 2)
(162, 434, 2)
(908, 387, 2)
(82, 49, 2)
(706, 936, 2)
(755, 673, 2)
(302, 901, 2)
(4, 360, 2)
(462, 915, 1)
(784, 835, 1)
(998, 964, 2)
(90, 434, 2)
(140, 75, 2)
(515, 174, 2)
(399, 317, 2)
(84, 883, 2)
(910, 139, 1)
(751, 711, 2)
(768, 180, 2)
(264, 639, 1)
(350, 895, 2)
(803, 112, 2)
(346, 674, 2)
(72, 732, 2)
(671, 731, 2)
(542, 249, 2)
(830, 231, 2)
(628, 361, 1)
(264, 107, 2)
(247, 639, 2)
(96, 859, 2)
(118, 234, 2)
(803, 450, 2)
(601, 488, 1)
(58, 243, 2)
(950, 610, 2)
(547, 608, 2)
(482, 745, 2)
(337, 441, 2)
(591, 923, 2)
(717, 320, 2)
(912, 138, 1)
(692, 916, 2)
(580, 619, 2)
(682, 262, 2)
(913, 269, 2)
(185, 898, 2)
(660, 904, 2)
(133, 997, 2)
(644, 394, 2)
(569, 451, 2)
(930, 443, 2)
(781, 93, 2)
(396, 929, 2)
(127, 892, 2)
(695, 162, 2)
(497, 855, 1)
(183, 569, 1)
(263, 529, 2)
(775, 717, 2)
(340, 162, 2)
(123, 141, 2)
(722, 948, 2)
(289, 605, 2)
(154, 161, 1)
(444, 974, 1)
(991, 353, 1)
(366, 55, 1)
(334, 427, 2)
(257, 402, 2)
(77, 924, 1)
(497, 462, 2)
(687, 965, 2)
(552, 38, 2)
(469, 821, 2)
(507, 739, 2)
(29, 46, 2)
(354, 668, 2)
(554, 593, 2)
(767, 913, 2)
(460, 332, 2)
(52, 921, 1)
(582, 939, 2)
(629, 442, 2)
(420, 8, 2)
(879, 240, 2)
(658, 916, 2)
(814, 987, 2)
(674, 286, 2)
(690, 612, 2)
(841, 393, 2)
(664, 40, 2)
(78, 240, 2)
(194, 939, 2)
(742, 359, 2)
(777, 829, 2)
(969, 140, 2)
(826, 221, 2)
(554, 791, 2)
(754, 770, 2)
(100, 647, 1)
(853, 609, 2)
(281, 68, 2)
(546, 72, 2)
(815, 938, 2)
(63, 672, 2)
(584, 566, 2)
(127, 813, 2)
(74, 416, 2)
(517, 571, 2)
(19, 227, 2)
(703, 743, 2)
(761, 762, 2)
(363, 250, 2)
(697, 277, 2)
(440, 343, 2)
(796, 817, 2)
(27, 758, 2)
(763, 405, 2)
(414, 930, 2)
(419, 67, 2)
(110, 416, 2)
(957, 124, 2)
(889, 117, 2)
(199, 555, 2)
(227, 879, 2)
(594, 428, 2)
(57, 224, 2)
(822, 995, 2)
(349, 928, 2)
(297, 804, 1)
(455, 687, 2)
(533, 168, 2)
(121, 899, 2)
(874, 226, 2)
(24, 517, 2)
(779, 289, 2)
(888, 685, 2)
(891, 187, 2)
(142, 749, 2)
