(571, 2937, 4)
(425, 2286, 3)
(4030, 2322, 5)
(1855, 3875, 4)
(2298, 801, 7)
(2162, 443, 4)
(1446, 1061, 2)
(2259, 1204, 4)
(2605, 1009, 3)
(1520, 2849, 3)
(1246, 1616, 2)
(452, 3895, 4)
(3883, 3355, 5)
(2726, 780, 5)
(2395, 2102, 2)
(2237, 2246, 2)
(3747, 334, 5)
(3174, 2521, 4)
(660, 2070, 4)
(2084, 2338, 2)
(1679, 2911, 3)
(2576, 1532, 4)
(819, 2429, 6)
(4027, 3829, 6)
(2044, 3552, 5)
(587, 3257, 4)
(388, 2595, 4)
(697, 2206, 6)
(2768, 1520, 3)
(3189, 3394, 2)
(3675, 1685, 4)
(2365, 2078, 2)
(1599, 1460, 2)
(3929, 663, 4)
(3634, 3499, 2)
(2454, 2233, 2)
(2936, 3520, 5)
(2290, 3944, 5)
(1124, 813, 6)
(4010, 2518, 5)
(1857, 3543, 4)
(331, 2985, 4)
(1442, 1732, 2)
(2890, 3199, 2)
(3207, 1322, 3)
(1019, 3506, 4)
(3025, 3541, 5)
(2428, 1168, 4)
(249, 90, 2)
(2214, 83, 4)
(268, 4024, 6)
(1164, 2924, 3)
(1428, 3086, 3)
(1302, 2612, 4)
(2107, 123, 4)
(2858, 2186, 4)
(288, 3531, 5)
(1341, 734, 6)
(2482, 2675, 4)
(2665, 3223, 2)
(3534, 1817, 4)
(2129, 897, 4)
(3480, 3645, 2)
(3332, 963, 3)
(858, 1131, 5)
(3737, 295, 5)
(56, 3608, 5)
(2412, 102, 4)
(3441, 3799, 2)
(1881, 2325, 3)
(2410, 2106, 2)
(2210, 2109, 2)
(4031, 2679, 5)
(2291, 3138, 4)
(2557, 2841, 4)
(2763, 333, 4)
(1609, 3915, 4)
(2926, 1313, 3)
(1965, 2925, 4)
(1709, 2290, 4)
(1741, 1742, 2)
(3866, 783, 4)
(3560, 1320, 4)
(2539, 2801, 4)
(632, 3181, 4)
(3963, 2076, 5)
(613, 2256, 4)
(3655, 590, 3)
(108, 1592, 3)
(3299, 3065, 2)
(3223, 1860, 3)
(3815, 1062, 4)
(1126, 1000, 2)
(628, 3061, 4)
(468, 1502, 3)
(1054, 3642, 4)
(1504, 3539, 4)
(3597, 737, 4)
(3662, 1360, 3)
(38, 868, 5)
(3879, 2411, 5)
(3695, 235, 5)
(634, 104, 4)
(2848, 2481, 4)
(3863, 3222, 5)
(783, 2839, 5)
(2993, 3596, 5)
(667, 3551, 4)
(3243, 555, 4)
(2274, 2032, 2)
(1570, 390, 3)
(3191, 2299, 4)
(835, 3162, 5)
(2454, 498, 4)
(1455, 2064, 4)
(382, 937, 3)
(3677, 521, 4)
(1391, 3331, 3)
(2638, 2966, 4)
(1320, 70, 3)
(2139, 3376, 4)
(954, 2353, 4)
(2956, 828, 4)
(3954, 1563, 4)
(2251, 1295, 4)
(1703, 2940, 3)
(3611, 280, 5)
(3611, 1945, 5)
(74, 1854, 3)
(673, 30, 4)
(3720, 941, 4)
(2951, 647, 4)
(2300, 3444, 5)
(1995, 604, 3)
(457, 48, 4)
(810, 644, 5)
(2069, 507, 3)
(851, 283, 7)
(1337, 3758, 4)
(731, 681, 6)
(3074, 941, 3)
(1279, 3279, 3)
(3805, 337, 5)
(3970, 268, 5)
(1270, 2079, 4)
(847, 359, 6)
(326, 583, 4)
(3381, 243, 4)
(880, 2435, 6)
(1270, 3548, 4)
(229, 2469, 4)
(3101, 1101, 3)
(888, 2219, 6)
(1938, 2801, 4)
(1521, 2876, 3)
(2867, 287, 4)
(3938, 3168, 5)
(1055, 4012, 5)
(3863, 1861, 4)
(3743, 3457, 2)
(804, 4000, 7)
(2118, 2069, 1)
(1777, 2444, 3)
(1481, 2143, 3)
(3749, 3168, 5)
(386, 3789, 4)
(186, 1958, 4)
(2190, 1832, 4)
(2155, 2417, 2)
(11, 40, 2)
(1580, 571, 3)
(785, 3160, 5)
(2162, 2040, 2)
(2116, 1148, 4)
(649, 868, 4)
(242, 767, 7)
(1123, 2510, 3)
(944, 166, 3)
(2759, 1234, 3)
(1628, 2244, 4)
(2124, 154, 4)
(1798, 2678, 3)
(428, 651, 1)
(1889, 2305, 4)
(1002, 1683, 2)
(2579, 644, 4)
(3167, 1642, 2)
(1680, 2492, 4)
(2972, 3491, 5)
(3216, 3878, 5)
(2691, 3328, 2)
(2438, 2434, 1)
(2758, 2723, 2)
(1935, 1092, 4)
(3027, 932, 3)
(2347, 514, 3)
(3530, 108, 5)
(1621, 827, 6)
(2437, 3260, 4)
(627, 147, 4)
(202, 2653, 3)
(770, 1236, 6)
(1895, 3505, 4)
(755, 798, 2)
(3179, 2311, 4)
(2155, 2622, 2)
(2607, 3497, 5)
(3175, 913, 3)
(3926, 2794, 5)
(3595, 2342, 5)
(767, 723, 2)
(2074, 1048, 4)
